,,,,,,,,,,,,,,,,,,,,,,
,WI Irrigation Scheduler (WIS),,,,,,,Sheet 4,,,,Field/Soil ID,Field / Soil No.,TAW (in),PWP (in/in),,,,,,,
,37,07/05/11,0.06,0.70,0.00,0.04,0.66,2.16,21,,0.32,,,,,,,,0.7,0.687,,2.16
,38,07/06/11,0.14,0.41,0.00,0.10,0.31,2.16,21,,0.31,,,,,,,,0.7,0.732,,2.16
,39,07/07/11,0.14,2.03,0.00,0.11,1.92,2.16,21,,1.92,,,,,,,,0.8,0.775,,2.16
,40,07/08/11,0.23,0.01,0.00,0.19,-0.18,1.98,21,,0.00,,,,,,,,0.9,0.814,,2.16
,41,07/09/11,0.28,0.00,0.00,0.24,-0.24,1.74,20,,0.00,,,,,,,,1.0,0.851,,2.16
,42,07/10/11,0.19,0.84,0.00,0.17,0.67,2.16,21,,0.26,,,,,,,,1.1,0.884,,2.16
,43,07/11/11,0.16,0.12,0.00,0.15,-0.03,2.13,21,,0.00,,,,,,,,1.2,0.913,,2.16
,44,07/12/11,0.26,0.00,0.00,0.24,-0.24,1.89,20,,0.00,,,,,,,,1.3,0.940,,2.16
,45,07/13/11,0.24,0.00,0.00,0.23,-0.23,1.66,20,,0.00,,,,,,,,1.4,0.963,,2.16
,46,07/14/11,0.17,2.53,0.00,0.17,2.36,2.16,21,,1.86,,,,,,,,1.5,0.984,,2.16
,47,07/15/11,0.28,0.28,0.00,0.28,0.00,2.16,21,,0.00,,,,,,,,1.6,1.001,,2.16
,48,07/16/11,0.25,0.00,0.00,0.25,-0.25,1.91,20,,0.00,,,,,,,,1.7,1.017,,2.16
,49,07/17/11,0.28,0.00,0.00,0.29,-0.29,1.62,19,,0.00,,,,,,,,1.8,1.030,,2.16
,50,07/18/11,0.15,0.00,0.00,0.16,-0.16,1.46,19,,0.00,,,,,,,,1.9,1.041,,2.16
,51,07/19/11,0.21,0.00,0.00,0.22,-0.22,1.24,18,,0.00,,,,,,,,2.1,1.050,,2.16
,52,07/20/11,0.21,0.00,0.00,0.22,-0.22,1.02,18,,0.00,,,,,,,,2.2,1.058,,2.16
,53,07/21/11,0.28,0.00,0.00,0.30,-0.30,0.72,17,,0.00,,,,,,,,2.3,1.065,,2.16
,54,07/22/11,0.04,1.24,0.00,0.04,1.20,1.92,20,,0.00,,,,,,,,2.4,1.070,,2.16
,55,07/23/11,0.15,0.01,0.00,0.16,-0.15,1.77,20,,0.00,,,,,,,,2.5,1.075,,2.16
,56,07/24/11,0.21,1.38,0.00,0.23,1.15,2.16,21,,0.76,,,,,,,,2.6,1.079,,2.16
,57,07/25/11,0.27,0.00,0.00,0.29,-0.29,1.87,20,,0.00,,,,,,,,2.7,1.082,,2.16
,58,07/26/11,0.26,0.00,0.00,0.28,-0.28,1.59,19,,0.00,,,,,,,,2.8,1.085,,2.16
,59,07/27/11,0.22,0.31,0.00,0.24,0.07,1.66,20,,0.00,,,,,,,,3.0,1.087,,2.16
,60,07/28/11,0.25,0.28,0.00,0.27,0.01,1.66,20,,0.00,,,,,,,,3.1,1.089,,2.16
,61,07/29/11,0.24,0.00,0.00,0.26,-0.26,1.40,19,,0.00,,,,,,,,3.2,1.090,,2.16
,62,07/30/11,0.11,0.03,0.00,0.12,-0.09,1.31,19,,0.00,,,,,,,,3.2,1.092,,2.16
,63,07/31/11,0.21,0.00,0.00,0.23,-0.23,1.08,18,,0.00,,,,,,,,3.3,1.093,,2.16
,64,08/01/11,0.24,0.00,0.00,0.26,-0.26,0.82,17,,0.00,,,,,,,,3.4,1.093,,2.16
,65,08/02/11,0.14,0.02,0.00,0.15,-0.13,0.69,17,,0.00,,,,,,,,3.5,1.094,,2.16
,66,08/03/11,0.23,0.00,0.00,0.25,-0.25,0.44,16,,0.00,,,,,,,,3.6,1.095,,2.16
,67,08/04/11,0.21,0.00,0.00,0.23,-0.23,0.21,16,,0.00,,,,,,,,3.6,1.095,,2.16
,68,08/05/11,0.22,0.00,0.00,0.24,-0.24,-0.04,15,,0.00,,,,,,,,3.7,1.096,,2.16
,69,08/06/11,0.20,0.00,0.00,0.22,-0.22,-0.25,14,,0.00,,,,,,,,3.8,1.096,,2.16
,70,08/07/11,0.20,0.00,0.00,0.22,-0.22,-0.47,14,,0.00,,,,,,,,3.8,1.096,,2.16
,71,08/08/11,0.17,2.74,0.00,0.19,2.55,2.08,21,,0.00,,,,,,,,3.9,1.097,,2.16
,72,08/09/11,0.21,0.02,0.00,0.23,-0.21,1.87,20,,0.00,,,,,,,,3.9,1.097,,2.16
,73,08/10/11,0.24,0.00,0.00,0.26,-0.26,1.61,19,,0.00,,,,,,,,4.0,1.097,,2.16
,74,08/11/11,0.24,1.09,0.00,0.26,0.83,2.16,21,,0.27,,,,,,,,4.0,1.097,,2.16
,75,08/12/11,0.28,0.00,0.00,0.31,-0.31,1.85,20,,0.00,,,,,,,,4.0,1.097,,2.16
,76,08/13/11,0.04,1.35,0.00,0.04,1.31,2.16,21,,1.00,,,,,,,,4.0,1.097,,2.16
,77,08/14/11,0.21,0.00,0.00,0.23,-0.23,1.93,20,,0.00,,,,,,,,4.1,1.097,,2.16
,78,08/15/11,0.20,0.01,0.00,0.22,-0.21,1.72,20,,0.00,,,,,,,,4.1,1.098,,2.16
,79,08/16/11,0.20,0.00,0.00,0.22,-0.22,1.50,19,,0.00,,,,,,,,4.1,1.098,,2.16
,80,08/17/11,0.15,0.00,0.00,0.16,-0.16,1.34,19,,0.00,,,,,,,,4.1,1.098,,2.16
,81,08/18/11,0.14,0.00,0.00,0.15,-0.15,1.18,18,,0.00,,,,,,,,4.1,1.098,,2.16
,82,08/19/11,0.18,0.00,0.00,0.20,-0.20,0.98,18,,0.00,,,,,,,,4.1,1.097,,2.16
,83,08/20/11,0.12,0.12,0.00,0.13,-0.01,0.97,18,,0.00,,,,,,,,4.0,1.097,,2.16
,84,08/21/11,0.10,0.00,0.00,0.11,-0.11,0.86,17,,0.00,,,,,,,,4.0,1.097,,2.16
,85,08/22/11,0.24,0.00,0.00,0.26,-0.26,0.60,17,,0.00,,,,,,,,4.0,1.097,,2.16
,86,08/23/11,0.23,0.00,0.00,0.25,-0.25,0.35,16,,0.00,,,,,,,,4.0,1.097,,2.16
,87,08/24/11,0.11,0.00,0.00,0.12,-0.12,0.23,16,,0.00,,,,,,,,3.9,1.097,,2.16
,88,08/25/11,0.19,0.00,0.00,0.21,-0.21,0.02,15,,0.00,,,,,,,,3.9,1.097,,2.16
,89,08/26/11,0.18,0.00,0.00,0.20,-0.20,-0.18,15,,0.00,,,,,,,,3.9,1.097,,2.16
,90,08/27/11,0.21,0.00,0.00,0.23,-0.23,-0.41,14,,0.00,,,,,,,,3.8,1.096,,2.16
,91,08/28/11,0.22,0.00,0.00,0.24,-0.24,-0.65,13,,0.00,,,,,,,,3.8,1.096,,2.16
,92,08/29/11,0.21,0.00,0.00,0.23,-0.23,-0.88,13,,0.00,,,,,,,,3.7,1.096,,2.16
,93,08/30/11,0.21,0.00,0.00,0.23,-0.23,-1.11,12,,0.00,,,,,,,,3.7,1.096,,2.16
,94,08/31/11,0.07,1.02,0.00,0.08,0.94,-0.17,15,,0.00,,,,,,,,3.6,1.095,,2.16
,95,09/01/11,0.16,0.24,0.00,0.18,0.07,-0.10,15,,0.00,,,,,,,,3.6,1.095,,2.16
,96,09/02/11,0.13,0.35,0.00,0.14,0.21,0.11,15,,0.00,,,,,,,,3.5,1.094,,2.16
,97,09/03/11,0.05,0.01,0.00,0.05,-0.04,0.06,15,,0.00,,,,,,,,3.4,1.094,,2.16
,98,09/04/11,0.14,0.00,0.00,0.15,-0.15,-0.09,15,,0.00,,,,,,,,3.4,1.093,,2.16
,99,09/05/11,0.14,0.00,0.00,0.15,-0.15,-0.25,14,,0.00,,,,,,,,3.3,1.092,,2.16
,100,09/06/11,0.05,0.11,0.00,0.05,0.06,-0.19,14,,0.00,,,,,,,,3.2,1.092,,2.16
,101,09/07/11,0.03,0.07,0.00,0.03,0.04,-0.15,15,,0.00,,,,,,,,3.2,1.091,,2.16
,102,09/08/11,0.12,0.00,0.00,0.13,-0.13,-0.28,14,,0.00,,,,,,,,3.1,1.090,,2.16
,103,09/09/11,0.12,0.00,0.00,0.13,-0.13,-0.41,14,,0.00,,,,,,,,3.0,1.089,,2.16
,104,09/10/11,0.15,0.00,0.00,0.16,-0.16,-0.58,13,,0.00,,,,,,,,3.0,1.087,,2.16
,105,09/11/11,0.08,0.24,0.00,0.09,0.15,-0.42,14,,0.00,,,,,,,,2.9,1.086,,2.16
,106,09/12/11,0.16,0.00,0.00,0.17,-0.17,-0.60,13,,0.00,,,,,,,,2.8,1.084,,2.16
,107,09/13/11,0.15,0.00,0.00,0.16,-0.16,-0.76,13,,0.00,,,,,,,,2.8,1.082,,2.16
,108,09/14/11,0.12,0.00,0.00,0.13,-0.13,-0.89,13,,0.00,,,,,,,,2.7,1.081,,2.16
,109,09/15/11,0.07,0.38,0.00,0.08,0.30,-0.58,13,,0.00,,,,,,,,2.6,1.078,,2.16
,110,09/16/11,0.06,0.15,0.00,0.06,0.09,-0.50,14,,0.00,,,,,,,,2.5,1.076,,2.16
,111,09/17/11,0.07,0.09,0.00,0.08,0.02,-0.48,14,,0.00,,,,,,,,2.5,1.073,,2.16
,112,09/18/11,0.09,0.00,0.00,0.10,-0.10,-0.58,13,,0.00,,,,,,,,2.4,1.070,,2.16
,113,09/19/11,0.08,0.00,0.00,0.09,-0.09,-0.67,13,,0.00,,,,,,,,2.3,1.067,,2.16
,114,09/20/11,0.04,0.00,0.00,0.04,-0.04,-0.71,13,,0.00,,,,,,,,2.3,1.063,,2.16
,115,09/21/11,0.08,0.17,0.00,0.08,0.09,-0.62,13,,0.00,,,,,,,,2.2,1.059,,2.16
,116,09/22/11,0.13,0.91,0.00,0.14,0.77,0.15,15,,0.00,,,,,,,,2.1,1.055,,2.16
,117,09/23/11,0.04,1.56,0.00,0.04,1.52,1.67,20,,0.00,,,,,,,,2.1,1.050,,2.16
,118,09/24/11,0.03,0.03,0.00,0.03,0.00,1.67,20,,0.00,,,,,,,,2.0,1.045,,2.16
,119,09/25/11,0.08,0.00,0.00,0.08,-0.08,1.58,19,,0.00,,,,,,,,1.9,1.040,,2.16
,120,09/26/11,0.11,0.00,0.00,0.11,-0.11,1.47,19,,0.00,,,,,,,,1.9,1.034,,2.16
,121,09/27/11,0.10,0.00,0.00,0.10,-0.10,1.37,19,,0.00,,,,,,,,1.8,1.027,,2.16
,122,09/28/11,0.05,0.00,0.00,0.05,-0.05,1.32,19,,0.00,,,,,,,,1.7,1.020,,2.16
,123,09/29/11,0.12,0.00,0.00,0.12,-0.12,1.19,18,,0.00,,,,,,,,1.7,1.012,,2.16
,124,09/30/11,0.11,0.00,0.00,0.11,-0.11,1.08,18,,0.00,,,,,,,,1.6,1.004,,2.16
,125,10/01/11,0.08,0.07,0.00,0.08,-0.01,1.07,18,,0.00,,,,,,,,1.6,0.996,,2.16
,126,10/02/11,0.07,0.00,0.00,0.07,-0.07,1.00,18,,0.00,,,,,,,,1.5,0.986,,2.16
,127,10/03/11,0.09,0.00,0.00,0.09,-0.09,0.92,18,,0.00,,,,,,,,1.5,0.977,,2.16
,128,10/04/11,0.08,0.00,0.00,0.08,-0.08,0.84,17,,0.00,,,,,,,,1.4,0.966,,2.16
,129,10/05/11,0.04,0.00,0.00,0.04,-0.04,0.80,17,,0.00,,,,,,,,1.4,0.955,,2.16
,130,10/06/11,0.08,0.00,0.00,0.08,-0.08,0.73,17,,0.00,,,,,,,,1.3,0.944,,2.16
,131,10/07/11,0.13,0.00,0.00,0.12,-0.12,0.60,17,,0.00,,,,,,,,1.3,0.932,,2.16
,132,10/08/11,0.04,0.00,0.00,0.04,-0.04,0.57,17,,0.00,,,,,,,,1.2,0.919,,2.16
,133,10/09/11,0.03,0.00,0.00,0.03,-0.03,0.54,17,,0.00,,,,,,,,1.2,0.906,,2.16
,134,10/10/11,0.08,0.00,0.00,0.07,-0.07,0.47,16,,0.00,,,,,,,,1.1,0.892,,2.16
,135,10/11/11,0.11,0.00,0.00,0.10,-0.10,0.37,16,,0.00,,,,,,,,1.1,0.877,,2.16
,136,10/12/11,0.10,0.00,0.00,0.09,-0.09,0.29,16,,0.00,,,,,,,,1.0,0.863,,2.16
,137,10/13/11,0.05,0.00,0.00,0.04,-0.04,0.24,16,,0.00,,,,,,,,1.0,0.847,,2.16
,138,10/14/11,0.12,0.00,0.00,0.10,-0.10,0.14,15,,0.00,,,,,,,,0.9,0.831,,2.16
,139,10/15/11,0.11,0.00,0.00,0.09,-0.09,0.05,15,,0.00,,,,,,,,0.9,0.815,,2.16
,140,10/16/11,0.08,0.00,0.00,0.06,-0.06,-0.01,15,,0.00,,,,,,,,0.9,0.798,,2.16
,141,10/17/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.8,0.781,,2.16
,142,10/18/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.8,0.764,,2.16
,143,10/19/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.8,0.746,,2.16
,144,10/20/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.7,0.728,,2.16
,145,10/21/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.7,0.710,,2.16
,146,10/22/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.7,0.692,,2.16
,147,10/23/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.6,0.673,,2.16
,148,10/24/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.6,0.655,,2.16
,149,10/25/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.6,0.636,,2.16
,150,10/26/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.5,0.617,,2.16
,151,10/27/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.5,0.599,,2.16
,152,10/28/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.5,0.580,,2.16
,153,10/29/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.5,0.562,,2.16
,154,10/30/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.5,0.543,,2.16
,155,10/31/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.4,0.525,,2.16
,156,11/01/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.4,0.507,,2.16
,157,11/02/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.4,0.489,,2.16
,158,11/03/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.4,0.471,,2.16
,159,11/04/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.4,0.454,,2.16
,160,11/05/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.3,0.437,,2.16
,161,11/06/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.3,0.420,,2.16
,162,11/07/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.3,0.404,,2.16
,163,11/08/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.3,0.388,,2.16
,164,11/09/11,0.00,0.00,0.00,0.00,0.00,-0.01,15,,0.00,,,,,,,,0.3,0.372,,2.16
,,Totals,,28.55,0.00,22.03,,,,,17.24,,,,,,,,,,,
